# GREAT version 3.0.0	Species assembly: hg19	Association rule: Single nearest gene: 100000 bp max extension, curated regulatory domains included
NA_peak_21486	PDE5A (-68969)
NA_peak_26582	MYB (-8776)
NA_peak_26382	CLVS2 (+20245)
NA_peak_23068	ACTBL2 (-19521)
NA_peak_24085	NONE
NA_peak_21385	NONE
NA_peak_13415	FAM150B (-90283)
NA_peak_15346	BBS5 (-9581)
NA_peak_14759	NONE
NA_peak_12618	NONE
NA_peak_7812	NONE
NA_peak_7644	NONE
NA_peak_6742	BTG1 (-80608)
NA_peak_3550	NONE
NA_peak_3833	NONE
NA_peak_3500	NONE
NA_peak_19341	NONE
NA_peak_486	NONE
NA_peak_29786	NONE
NA_peak_18742	NONE
NA_peak_14557	CHCHD5 (+18673)
NA_peak_16719	NONE
NA_peak_162	C1QA (+717)
NA_peak_18	NONE
NA_peak_11438	ZNF207 (+1101)
NA_peak_9103	NONE
NA_peak_9188	NONE
NA_peak_11639	NONE
NA_peak_4804	UVRAG (+52832)
NA_peak_5421	BLID (-25217)
NA_peak_9906	NONE
NA_peak_31656	HDHD3 (-3057)
NA_peak_22460	C5orf38 (+50798)
NA_peak_19965	HES1 (+3652)
NA_peak_2921	NONE
NA_peak_22695	CDH12 (+274)
NA_peak_11120	ZFPM1 (+35302)
NA_peak_28686	AKR1B15 (-1647)
NA_peak_28085	DMTF1 (-12230)
NA_peak_28058	NONE
NA_peak_24013	CEP120 (+14990)
NA_peak_20941	NONE
NA_peak_14038	VRK2 (-65469)
NA_peak_13977	NONE
NA_peak_8511	OR4L1 (+17055)
NA_peak_8208	NONE
NA_peak_7671	NONE
NA_peak_7402	NONE
NA_peak_8386	NONE
NA_peak_1563	MPZL1 (+30764)
NA_peak_4019	NONE
NA_peak_15443	MTX2 (+48572)
NA_peak_5319	DIXDC1 (-10347)
NA_peak_18040	TMEM158 (+2135)
NA_peak_6905	SLC41A2 (+42170)
NA_peak_26600	MAP7 (-18926)
NA_peak_13450	SOX11 (+74207)
NA_peak_12162	EMILIN2 (-80493)
NA_peak_7117	NONE
NA_peak_16460	NONE
NA_peak_8474	IRS2 (-30058)
NA_peak_3433	DNAJB12 (-95181)
NA_peak_10403	NONE
NA_peak_3294	CDK1 (-9350)
NA_peak_17908	CMTM7 (-18698)
NA_peak_2731	RSU1 (+64320)
NA_peak_14384	THNSL2 (+92619)
NA_peak_12592	CELF4 (+82256)
NA_peak_27661	IGFBP1 (-2718)
NA_peak_10794	POLR2C (+10003)
NA_peak_3917	NONE
NA_peak_25959	NONE
NA_peak_25090	NONE
NA_peak_23927	NONE
NA_peak_20884	NONE
NA_peak_20672	NONE
NA_peak_19684	NONE
NA_peak_16816	PFDN4 (+68084)
NA_peak_12987	NONE
NA_peak_9896	NONE
NA_peak_9788	GATM (+4868)
NA_peak_7910	NONE
NA_peak_6269	NONE
NA_peak_11948	FAM20A (+16315)
NA_peak_11864	NONE
NA_peak_22494	UBE2QL1 (+87005)
NA_peak_23235	MRPS27 (+78529)
NA_peak_10965	NONE
NA_peak_9587	NDNL2 (-52874)
NA_peak_1488	FCGR2B (+13999)
NA_peak_29599	SGK3 (+1346)
NA_peak_26519	NONE
NA_peak_17642	C3orf20 (-54339)
NA_peak_2016	CDK18 (-34147)
NA_peak_4124	PPP2R2D (-89423)
NA_peak_23267	NONE
NA_peak_27546	NONE
NA_peak_23040	NONE
NA_peak_14021	NONE
NA_peak_31952	PNPLA4 (-56192)
NA_peak_31245	NONE
NA_peak_28518	NONE
NA_peak_22804	NONE
NA_peak_20335	NONE
NA_peak_15273	SLC38A11 (+20318)
NA_peak_10517	MKL2 (+21747)
NA_peak_3396	NONE
NA_peak_20792	ADAMTS3 (+3776)
NA_peak_11730	NONE
NA_peak_2729	C1QL3 (-81573)
NA_peak_9200	ISCA2 (+58244)
NA_peak_20879	ANXA3 (+17844)
NA_peak_2263	CAPN2 (-1604)
NA_peak_32088	NONE
NA_peak_12844	TXNL1 (+72764)
NA_peak_16305	SLC23A2 (+9660)
NA_peak_24754	PHYKPL (-38116)
NA_peak_2202	NONE
NA_peak_2929	NONE
NA_peak_11886	TEX2 (+38758)
NA_peak_19717	NONE
NA_peak_17774	NONE
NA_peak_31002	NONE
NA_peak_19366	PLCH1 (+5562)
NA_peak_15815	CDK15 (+60211)
NA_peak_698	TNNI3K (+73258)
NA_peak_29043	NONE
NA_peak_30368	POU5F1B (-87618)
NA_peak_30105	ZFPM2 (+6766)
NA_peak_18198	NONE
NA_peak_17713	NONE
NA_peak_14130	NONE
NA_peak_15618	TFPI (+9008)
NA_peak_8021	NONE
NA_peak_7997	NONE
NA_peak_28818	NONE
NA_peak_17177	PCP4 (-59436)
NA_peak_31493	TSTD2 (+5797)
NA_peak_4224	TEAD1 (+1063)
NA_peak_16211	NONE
NA_peak_17146	NONE
NA_peak_19723	NONE
NA_peak_26516	NONE
NA_peak_30279	EXT1 (+81998)
NA_peak_11709	NONE
NA_peak_10294	RLBP1 (+55968)
NA_peak_24972	ATXN1 (-1690)
NA_peak_24537	NONE
NA_peak_19702	NONE
NA_peak_19408	IQCJ-SCHIP1 (+97877)
NA_peak_15811	TMEM237 (+1055)
NA_peak_15169	ACVR1 (+2434)
NA_peak_8109	NONE
NA_peak_8094	NONE
NA_peak_7321	BRCA2 (+85448)
NA_peak_7258	FLT1 (+31806)
NA_peak_5917	NONE
NA_peak_5789	NONE
NA_peak_1909	NONE
NA_peak_1743	EDEM3 (-82051)
NA_peak_1632	TNFSF18 (+43817)
NA_peak_2212	EPRS (+52855)
NA_peak_31610	NONE
NA_peak_23594	NONE
NA_peak_24467	HAVCR1 (+7556)
NA_peak_33155	NONE
NA_peak_12494	DSG2 (+41014)
NA_peak_16359	LAMP5 (+86251)
NA_peak_29784	HEY1 (-51201)
NA_peak_7593	NONE
NA_peak_25511	NONE
NA_peak_18221	NONE
NA_peak_14023	NONE
NA_peak_31391	NONE
NA_peak_433	JUN (+29470)
NA_peak_30735	FREM1 (-1420)
NA_peak_19597	NONE
NA_peak_31917	NONE
NA_peak_31262	CEP78 (-92554)
NA_peak_12573	INO80C (-51916)
NA_peak_5315	PPP2R1B (-34311)
NA_peak_3284	ANK3 (+21244)
NA_peak_31612	NONE
NA_peak_28531	NONE
NA_peak_23568	ANKRD32 (+88525)
NA_peak_20327	NONE
NA_peak_21721	PCDH18 (-26743)
NA_peak_9642	NONE
NA_peak_6234	FAM19A2 (+69558)
NA_peak_1787	NONE
NA_peak_4370	NONE
NA_peak_28425	ENSG00000236294 (+9154)
NA_peak_11422	NF1 (+61128)
NA_peak_8311	MBNL2 (+85915)
NA_peak_17153	HLCS (+47879)
NA_peak_3922	TCF7L2 (-51075)
NA_peak_2646	ITIH2 (+4009)
NA_peak_11594	STH (+3534)
NA_peak_14770	NONE
NA_peak_13074	NONE
NA_peak_17111	IFNAR1 (+34100)
NA_peak_26637	CITED2 (+13731)
NA_peak_29468	TGS1 (-96394)
NA_peak_16739	WFDC8 (+2309)
NA_peak_2542	OR2T33 (-9047)
NA_peak_4551	NONE
NA_peak_32569	MAGED1 (+83011)
NA_peak_29769	NONE
NA_peak_30160	NONE
NA_peak_25971	NONE
NA_peak_26679	NONE
NA_peak_23479	NONE
NA_peak_22791	NONE
NA_peak_24710	ENSG00000170091 (+17657)
NA_peak_17772	NONE
NA_peak_14969	NONE
NA_peak_13283	ZNF507 (+1023)
NA_peak_10188	NONE
NA_peak_9803	NONE
NA_peak_7412	NONE
NA_peak_5835	SOX5 (+33353)
NA_peak_4340	NONE
NA_peak_24787	GMDS (-816)
NA_peak_18031	ZNF445 (+9044)
NA_peak_17394	NONE
NA_peak_16529	NONE
NA_peak_3843	NONE
NA_peak_4306	NONE
NA_peak_13705	PLB1 (+71223)
NA_peak_308	TMEM53 (+57368)
NA_peak_20775	NONE
NA_peak_4825	ALG8 (-17025)
NA_peak_22816	CDH6 (-91697)
NA_peak_20231	CCKAR (+37361)
NA_peak_7458	ELF1 (+25286)
NA_peak_20086	NONE
NA_peak_7156	NONE
NA_peak_25124	LRRC16A (+23277)
NA_peak_12116	NOTUM (+5184)
NA_peak_266	AKIRIN1 (+1363)
NA_peak_3414	C10orf35 (+35673)
NA_peak_32640	NONE
NA_peak_26518	NONE
NA_peak_20593	NONE
NA_peak_19039	ASTE1 (+68138)
NA_peak_616	NONE
NA_peak_8084	NONE
NA_peak_6194	NONE
NA_peak_10937	NONE
NA_peak_17430	H1F0 (-2004)
NA_peak_20526	LNX1 (-50093)
NA_peak_2378	NTPCR (-24431)
NA_peak_23815	EFNA5 (-45627)
NA_peak_15116	NONE
NA_peak_13232	NR2F6 (+1451)
NA_peak_27082	PDGFA (+84138)
NA_peak_30725	NFIB (-30889)
NA_peak_27045	C6orf123 (-8915)
NA_peak_17289	IGLL1 (+14015)
NA_peak_28982	NONE
NA_peak_30560	GLIS3 (+37164)
NA_peak_27776	NONE
NA_peak_7090	NONE
NA_peak_12901	NONE
NA_peak_12084	CYTH1 (+33973)
NA_peak_25203	MICA (-6339)
NA_peak_21607	NONE
NA_peak_16895	NONE
NA_peak_12739	NONE
NA_peak_1961	NR5A2 (-23258)
NA_peak_73	CASZ1 (-67486)
NA_peak_16531	NAA20 (-7002)
NA_peak_32375	NONE
NA_peak_33293	NONE
NA_peak_12990	NONE
NA_peak_7401	TRPC4 (-29968)
NA_peak_2934	MAP3K8 (+94102)
NA_peak_11779	AKAP1 (-11282)
NA_peak_27040	TCP10 (-34938)
NA_peak_24008	PRDM6 (+44805)
NA_peak_21080	NONE
NA_peak_22347	NONE
NA_peak_21630	NONE
NA_peak_19398	NONE
NA_peak_17085	KRTAP8-1 (+2814)
NA_peak_10095	MAP2K5 (+51057)
NA_peak_6409	NONE
NA_peak_1988	NONE
NA_peak_1752	NONE
NA_peak_14179	PPP3R1 (+1663)
NA_peak_5400	TBCEL (-22448)
NA_peak_388	HSPB11 (-21996)
NA_peak_1421	CELF3 (+17747)
NA_peak_5784	NONE
NA_peak_11894	GNA13 (+14956)
NA_peak_11916	CEP112 (+26218)
NA_peak_13731	SPAST (-336)
NA_peak_5480	NONE
NA_peak_1718	ZNF648 (+39084)
NA_peak_11488	NONE
NA_peak_11924	NONE
NA_peak_2401	IRF2BP2 (-3095)
NA_peak_7107	NONE
NA_peak_11947	FAM20A (+19040)
NA_peak_1354	NOTCH2NL (+21748)
NA_peak_11679	TMEM92 (+22473)
NA_peak_31862	LHX3 (+32827)
NA_peak_17419	APOL3 (+6940)
NA_peak_4164	TRIM3 (+7437)
NA_peak_14495	NONE
NA_peak_31768	GPR21 (+52949)
NA_peak_14711	HS6ST1 (-81274)
NA_peak_6061	NONE
NA_peak_32553	NONE
NA_peak_32530	RP2 (+23755)
NA_peak_29764	NONE
NA_peak_29058	CNOT7 (-12755)
NA_peak_27594	RALA (-7720)
NA_peak_25137	SCGN (-6102)
NA_peak_22131	MARCH1 (+44874)
NA_peak_21608	NONE
NA_peak_21416	NONE
NA_peak_18876	ZBTB20 (-24999)
NA_peak_7621	ALG11 (-373)
NA_peak_8382	NONE
NA_peak_5882	RASSF8 (-48256)
NA_peak_3387	LRRTM3 (-81622)
NA_peak_1965	NONE
NA_peak_31624	PTPN3 (+57363)
NA_peak_29126	STC1 (-38716)
NA_peak_12228	NONE
NA_peak_12345	CTAGE1 (-10121)
NA_peak_22036	ETFDH (-86)
NA_peak_11410	TMIGD1 (-10523)
NA_peak_5059	MED17 (-11000)
NA_peak_24671	FOXI1 (+76561)
NA_peak_29907	NONE
NA_peak_21771	NONE
NA_peak_11143	TLCD2 (+11625)
NA_peak_17088	NONE
NA_peak_18053	PTPN23 (+3618)
NA_peak_30967	UNC13B (+96022)
NA_peak_28946	NONE
NA_peak_25292	OARD1 (+6747)
NA_peak_26617	PERP (+20768)
NA_peak_16569	NONE
NA_peak_10372	NONE
NA_peak_9943	PRTG (+25393)
NA_peak_8028	NONE
NA_peak_2241	BROX (+38992)
NA_peak_2840	MSRB2 (-39476)
NA_peak_15465	TTC30A (+15921)
NA_peak_10106	FEM1B (-5930)
NA_peak_24939	NONE
NA_peak_11004	CFDP1 (-13113)
NA_peak_32480	NONE
NA_peak_29239	NONE
NA_peak_27228	NONE
NA_peak_28279	NONE
NA_peak_23283	NONE
NA_peak_23778	NONE
NA_peak_20546	NONE
NA_peak_16091	NONE
NA_peak_15680	NONE
NA_peak_17091	NONE
NA_peak_12489	DSG1 (-36617)
NA_peak_8991	NONE
NA_peak_8838	NONE
NA_peak_5183	DYNC2H1 (-239)
NA_peak_3037	ANKRD30A (+89886)
NA_peak_2972	NRP1 (+48945)
NA_peak_10024	NONE
NA_peak_25838	AKIRIN2 (+1158)
NA_peak_21961	LRAT (-55937)
NA_peak_12502	B4GALT6 (+27895)
NA_peak_32037	GPM6B (-17106)
NA_peak_26380	SMPDL3A (+49870)
NA_peak_5655	NONE
NA_peak_26235	MARCKS (-79925)
NA_peak_30155	NONE
NA_peak_2790	NONE
NA_peak_278	SMAP2 (+10574)
NA_peak_28281	RELN (-75697)
NA_peak_28297	NONE
NA_peak_18986	ADCY5 (+18278)
NA_peak_19004	NONE
NA_peak_11041	NONE
NA_peak_8332	DOCK9 (+49917)
NA_peak_8204	NONE
NA_peak_5331	NCAM1 (-39753)
NA_peak_17327	NONE
NA_peak_16724	JPH2 (-18836)
NA_peak_17203	NONE
NA_peak_19980	LSG1 (+878)
NA_peak_31097	NONE
NA_peak_28829	NONE
NA_peak_25810	NONE
NA_peak_26038	NONE
NA_peak_20824	EPGN (-22338)
NA_peak_21340	COL25A1 (+43447)
NA_peak_9817	SEMA6D (-62256)
NA_peak_8820	NONE
NA_peak_7606	NONE
NA_peak_5124	CNTN5 (+27215)
NA_peak_1770	NONE
NA_peak_30029	NONE
NA_peak_3277	CCDC6 (-43130)
NA_peak_32973	RNF128 (-90)
NA_peak_7437	NONE
NA_peak_24441	NONE
NA_peak_3924	TCF7L2 (+69496)
NA_peak_32517	NONE
NA_peak_30061	YWHAZ (-98710)
NA_peak_7727	NONE
NA_peak_31239	RFK (+60826)
NA_peak_22817	CDH6 (-86963)
NA_peak_23735	NONE
NA_peak_22388	LRP2BP (+1008)
NA_peak_14197	GMCL1 (-12595)
NA_peak_15292	SCN1A (-60782)
NA_peak_6485	NONE
NA_peak_19708	NONE
NA_peak_20061	ABLIM2 (+13541)
NA_peak_13420	NONE
NA_peak_25693	TMEM30A (+4373)
NA_peak_25477	NONE
NA_peak_26479	NONE
NA_peak_23228	BDP1 (-65056)
NA_peak_21892	MAB21L2 (-73110)
NA_peak_19584	SLC2A2 (+24277)
NA_peak_14621	INSIG2 (-2941)
NA_peak_12612	NONE
NA_peak_8866	NONE
NA_peak_5115	NONE
NA_peak_2948	NONE
NA_peak_33430	NONE
NA_peak_18937	NONE
NA_peak_18257	NONE
NA_peak_16388	NONE
NA_peak_17291	IGLL1 (-41146)
NA_peak_4179	RPL27A (+63233)
NA_peak_17226	NONE
NA_peak_11642	NONE
NA_peak_13388	RPS11 (+23)
NA_peak_32203	POLA1 (+76925)
NA_peak_20707	UGT2B15 (+18423)
NA_peak_22402	MTNR1A (+94154)
NA_peak_6259	SRGAP1 (+70010)
NA_peak_470	NFIA (+70321)
NA_peak_5961	FGD4 (+323)
NA_peak_19005	NONE
NA_peak_24438	KIF4B (+92354)
NA_peak_18211	PRICKLE2 (-120)
NA_peak_31667	ZNF618 (+34081)
NA_peak_7267	SLC7A1 (+46931)
NA_peak_30563	GLIS3 (-59852)
NA_peak_32870	NONE
NA_peak_32123	PHKA2 (-55996)
NA_peak_31595	RAD23B (+1669)
NA_peak_28732	NONE
NA_peak_23810	EFNA5 (+63476)
NA_peak_22060	NONE
NA_peak_21964	LRAT (-16286)
NA_peak_19955	ATP13A5 (-51543)
NA_peak_18961	STXBP5L (-5124)
NA_peak_18811	HHLA2 (+37220)
NA_peak_17497	NONE
NA_peak_14743	NONE
NA_peak_17005	NONE
NA_peak_9982	ALDH1A2 (+19058)
NA_peak_7269	SLC7A1 (-94086)
NA_peak_6713	NONE
NA_peak_6672	NONE
NA_peak_6383	NONE
NA_peak_5712	MGST1 (+79)
NA_peak_3998	NONE
NA_peak_24195	FSTL4 (+97882)
NA_peak_17339	NONE
NA_peak_16727	TTPAL (-14113)
NA_peak_19957	NONE
NA_peak_32127	PDHA1 (+878)
NA_peak_21138	BMPR1B (+56170)
NA_peak_14257	TACR1 (+46239)
NA_peak_3437	MCU (+90958)
NA_peak_20031	ADRA2C (+18470)
NA_peak_1263	CD2 (+44443)
NA_peak_4690	MS4A6E (+16290)
NA_peak_18105	ERC2 (+969)
NA_peak_20988	CDS1 (+10948)
NA_peak_11075	ATMIN (-254)
NA_peak_1549	TMCO1 (+21480)
NA_peak_30477	AGO2 (-32917)
NA_peak_2756	NONE
NA_peak_11823	USP32 (+19973)
NA_peak_30161	NONE
NA_peak_24098	GRAMD3 (-76048)
NA_peak_7219	RNF6 (+77514)
NA_peak_4950	EED (+1375)
NA_peak_5254	GUCY1A2 (+99582)
NA_peak_334	TRABD2B (-53564)
NA_peak_16552	NKX2-2 (-15950)
NA_peak_12043	HN1 (+841)
NA_peak_30777	NONE
NA_peak_30406	NONE
NA_peak_24806	ECI2 (+50679)
NA_peak_24434	SAP30L (-21517)
NA_peak_20602	LPHN3 (+66935)
NA_peak_20544	SRD5A3 (-23246)
NA_peak_21513	ANXA5 (+5601)
NA_peak_8270	SOX21 (-41155)
NA_peak_7648	NONE
NA_peak_6752	NONE
NA_peak_6035	PUS7L (+30432)
NA_peak_1506	RGS4 (-37534)
NA_peak_5538	NONE
NA_peak_5596	NONE
NA_peak_29611	CPA6 (-74663)
NA_peak_7999	NONE
NA_peak_4610	ARFGAP2 (+74337)
NA_peak_31153	FAM189A2 (+48893)
NA_peak_32863	NONE
NA_peak_19264	TM4SF4 (-5312)
NA_peak_15083	ARL6IP6 (-82086)
NA_peak_2809	NONE
NA_peak_5337	NONE
NA_peak_17754	NR1D2 (+68794)
NA_peak_31523	ENSG00000148123 (+67191)
NA_peak_28412	IFRD1 (-776)
NA_peak_19178	NONE
NA_peak_14208	VAX2 (-384)
NA_peak_10479	RBFOX1 (+545)
NA_peak_18878	ZBTB20 (-71121)
NA_peak_26209	NONE
NA_peak_12862	NONE
NA_peak_140	CAMK2N1 (+6087)
NA_peak_11408	BLMH (-428)
NA_peak_12254	NONE
NA_peak_7185	NONE
NA_peak_17210	PDXK (-18654)
NA_peak_10927	SMPD3 (+52032)
NA_peak_32664	NONE
NA_peak_32245	NONE
NA_peak_32151	NONE
NA_peak_29862	NONE
NA_peak_29737	ZFHX4 (+459)
NA_peak_30243	NONE
NA_peak_28340	C7orf66 (-88757)
NA_peak_26995	PACRG (-56697)
NA_peak_23305	WDR41 (+26206)
NA_peak_23943	NONE
NA_peak_21650	NONE
NA_peak_18383	NONE
NA_peak_8566	NONE
NA_peak_5805	IAPP (-66017)
NA_peak_6923	NONE
NA_peak_1665	NONE
NA_peak_2743	VIM (+85803)
NA_peak_9794	NONE
NA_peak_29160	NEFM (+64895)
NA_peak_19785	SOX2 (+29798)
NA_peak_10303	C15orf38 (-41202)
NA_peak_29600	MCMDC2 (+26060)
NA_peak_24963	MYLIP (-69825)
NA_peak_4607	CKAP5 (-4774)
NA_peak_5443	SCN3B (-43482)
NA_peak_3635	PAPSS2 (-53932)
NA_peak_3754	LOXL4 (-1022)
NA_peak_11396	ABHD15 (+11121)
NA_peak_6918	NONE
NA_peak_9492	DIO3 (-84111)
NA_peak_23087	NONE
NA_peak_18498	NONE
NA_peak_8921	PYGL (-20204)
NA_peak_3126	ASAH2 (-78117)
NA_peak_12022	NONE
NA_peak_32556	AKAP4 (+86865)
NA_peak_13091	NONE
NA_peak_4137	KRTAP5-6 (-22893)
NA_peak_18361	PPP4R2 (-21276)
NA_peak_6172	R3HDM2 (-597)
NA_peak_24221	NONE
NA_peak_25433	GCLC (+32267)
NA_peak_16732	KCNS1 (+8)
NA_peak_13425	ADI1 (+31242)
NA_peak_27532	NPSR1 (+94798)
NA_peak_27518	FKBP9 (-9787)
NA_peak_16726	R3HDML (+18683)
NA_peak_33219	DCAF12L1 (+18014)
NA_peak_29193	HMBOX1 (+97734)
NA_peak_30319	NONE
NA_peak_27222	NONE
NA_peak_25849	SPACA1 (-63378)
NA_peak_25597	BAI3 (+23207)
NA_peak_22896	NONE
NA_peak_24568	NONE
NA_peak_22533	NONE
NA_peak_22137	NONE
NA_peak_21876	NONE
NA_peak_13433	NONE
NA_peak_16193	GPR55 (+6201)
NA_peak_12700	NONE
NA_peak_12684	NONE
NA_peak_9066	NONE
NA_peak_8954	GCH1 (-17366)
NA_peak_4536	NONE
NA_peak_3185	NONE
NA_peak_3821	NONE
NA_peak_15416	OLA1 (+1644)
NA_peak_8333	DOCK9 (+27077)
NA_peak_31605	NONE
NA_peak_29840	NONE
NA_peak_30309	NONE
NA_peak_14159	NONE
NA_peak_13986	TSPYL6 (+64438)
NA_peak_27842	ABHD11 (-11004)
NA_peak_30033	LAPTM4B (+8991)
NA_peak_25695	TMEM30A (-64411)
NA_peak_15242	NONE
NA_peak_10204	LINGO1 (+14422)
NA_peak_1212	LRIG2 (+62418)
NA_peak_374	TXNDC12 (+661)
NA_peak_32121	PHKA2 (+3927)
NA_peak_12052	FBF1 (-18587)
NA_peak_1342	PDE4DIP (+57665)
NA_peak_33320	GPC3 (+18932)
NA_peak_10261	SLC28A1 (-1022)
NA_peak_14396	NONE
NA_peak_247	PSMB2 (-8276)
NA_peak_12886	ONECUT2 (+3974)
NA_peak_31767	GPR21 (+52124)
NA_peak_29207	NONE
NA_peak_6987	HECTD4 (+96083)
NA_peak_18297	NONE
NA_peak_8380	NONE
NA_peak_25125	LRRC16A (+48111)
NA_peak_27378	IGF2BP3 (-425)
NA_peak_22720	CDH10 (-69384)
NA_peak_10137	THAP10 (+39)
NA_peak_8458	ABHD13 (+8234)
NA_peak_32842	NONE
NA_peak_31010	NONE
NA_peak_29410	NONE
NA_peak_28897	SHH (+67736)
NA_peak_26777	NONE
NA_peak_23456	NONE
NA_peak_23176	NONE
NA_peak_21158	NONE
NA_peak_20864	FRAS1 (-66528)
NA_peak_18462	NONE
NA_peak_17947	NONE
NA_peak_19803	NONE
NA_peak_19690	NONE
NA_peak_18773	NONE
NA_peak_17072	NONE
NA_peak_8099	NONE
NA_peak_6828	NONE
NA_peak_3381	NONE
NA_peak_32699	SH3BGRL (-28)
NA_peak_31310	TLE1 (+2313)
NA_peak_21861	NONE
NA_peak_6196	NONE
NA_peak_11940	SLC16A6 (-27686)
NA_peak_30990	SHB (-50430)
NA_peak_1777	NONE
NA_peak_32150	NONE
NA_peak_23583	ELL2 (+25154)
NA_peak_2561	IDI1 (-16660)
NA_peak_20077	NONE
NA_peak_10748	NONE
NA_peak_4027	NONE
NA_peak_12049	GRB2 (-23421)
NA_peak_24172	RAPGEF6 (+24117)
NA_peak_14	PRDM16 (+46278)
NA_peak_12092	CBX4 (+17906)
NA_peak_23125	KIF2A (-26309)
NA_peak_21186	NONE
NA_peak_20699	TMPRSS11E (+38658)
NA_peak_15168	ACVR1 (+36451)
NA_peak_8011	NONE
NA_peak_1871	NONE
NA_peak_2986	NONE
NA_peak_23901	TICAM2 (-21594)
NA_peak_17434	DMC1 (+2521)
NA_peak_17543	NONE
NA_peak_31408	CDK20 (-21901)
NA_peak_25187	OR2B6 (+48968)
NA_peak_12167	MYOM1 (+47993)
NA_peak_8225	NONE
NA_peak_3486	NONE
NA_peak_27833	CALN1 (-61781)
NA_peak_24687	FBXW11 (+52118)
NA_peak_18237	NONE
NA_peak_13323	EXOSC5 (-68)
NA_peak_9507	TMEM179 (-32643)
NA_peak_14512	NONE
NA_peak_13274	NONE
NA_peak_31806	LMX1B (+29875)
NA_peak_11366	NONE
NA_peak_9431	SERPINA9 (-6783)
NA_peak_11112	FOXL1 (+53351)
NA_peak_33288	MBNL3 (-81308)
NA_peak_33094	NONE
NA_peak_17779	RARB (+1812)
NA_peak_19760	NONE
NA_peak_15998	IKZF2 (+22628)
NA_peak_15098	NONE
NA_peak_818	NONE
NA_peak_10319	SV2B (+87078)
NA_peak_8897	NONE
NA_peak_297	CLDN19 (+27197)
NA_peak_7814	NONE
NA_peak_7162	NONE
NA_peak_5877	IFLTD1 (-4708)
NA_peak_2158	GPATCH2 (+13136)
NA_peak_5030	NONE
NA_peak_13992	NONE
NA_peak_24244	SIL1 (+35965)
NA_peak_24477	NONE
NA_peak_16821	NONE
NA_peak_18924	NONE
NA_peak_15382	SLC25A12 (+899)
NA_peak_1966	ZNF281 (+40183)
NA_peak_12885	ONECUT2 (-2736)
NA_peak_17238	SLC25A18 (+6481)
NA_peak_19028	PLXND1 (+12857)
NA_peak_8479	RAB20 (+32394)
NA_peak_19120	RBP1 (-21764)
NA_peak_6098	PFKM (+17467)
NA_peak_15046	NONE
NA_peak_1677	NONE
NA_peak_30339	NDUFB9 (+38786)
NA_peak_31690	PAPPA-AS1 (+63936)
NA_peak_24782	NONE
NA_peak_9913	NONE
NA_peak_30496	NONE
NA_peak_5931	TMTC1 (-13089)
NA_peak_1272	VTCN1 (+31125)
NA_peak_22866	SLC1A3 (+114)
NA_peak_3810	SFR1 (-17)
NA_peak_32889	NONE
NA_peak_32628	OTUD6A (-3534)
NA_peak_32222	NONE
NA_peak_32920	BEX4 (-5941)
NA_peak_29882	NONE
NA_peak_29159	NEFM (+43667)
NA_peak_28651	NONE
NA_peak_27189	NONE
NA_peak_25943	NONE
NA_peak_25746	PHIP (-1047)
NA_peak_25079	NONE
NA_peak_21127	NONE
NA_peak_20661	NONE
NA_peak_20341	DTHD1 (+9160)
NA_peak_22343	NONE
NA_peak_18499	NONE
NA_peak_19528	NONE
NA_peak_19323	P2RY1 (-26368)
NA_peak_14305	NONE
NA_peak_15393	NONE
NA_peak_14688	NONE
NA_peak_16703	NONE
NA_peak_12729	SKOR2 (+9826)
NA_peak_10690	LONP2 (+27802)
NA_peak_9003	C14orf37 (-12275)
NA_peak_8766	NONE
NA_peak_8148	NONE
NA_peak_7780	NONE
NA_peak_6070	ARID2 (-21115)
NA_peak_5855	NONE
NA_peak_3282	NONE
NA_peak_28939	NONE
NA_peak_30446	NONE
NA_peak_32936	IL1RAPL2 (-66626)
NA_peak_2086	PROX1 (+16458)
NA_peak_27479	CHN2 (-51080)
NA_peak_13359	IGFL3 (-8929)
NA_peak_12245	RAB31 (+28880)
NA_peak_9863	SCG3 (-8669)
NA_peak_7477	VWA8 (+15918)
NA_peak_5991	SLC2A13 (+71068)
NA_peak_14454	NONE
NA_peak_31404	DAPK1 (+23060)
NA_peak_3480	NONE
NA_peak_28954	NONE
NA_peak_18097	NONE
NA_peak_20068	SLC2A9 (+18952)
NA_peak_3496	NONE
NA_peak_31424	SECISBP2 (+38939)
NA_peak_13467	RNF144A (+14586)
NA_peak_17420	MYH9 (+35085)
NA_peak_29315	NONE
NA_peak_26796	NONE
NA_peak_32468	GPR34 (-24944)
NA_peak_28820	NONE
NA_peak_15059	NONE
NA_peak_5365	NONE
NA_peak_12081	PGS1 (+95785)
NA_peak_15234	KCNH7 (-256)
NA_peak_23312	NONE
NA_peak_26431	HINT3 (-17347)
NA_peak_11521	LASP1 (-1894)
NA_peak_11589	HEXIM1 (+4629)
NA_peak_5955	BICD1 (+28915)
NA_peak_32618	NONE
NA_peak_33414	NONE
NA_peak_33374	NONE
NA_peak_33124	DOCK11 (-36118)
NA_peak_30454	NONE
NA_peak_28039	NONE
NA_peak_25729	NONE
NA_peak_24991	NONE
NA_peak_26105	LIN28B (+814)
NA_peak_23160	NONE
NA_peak_23813	EFNA5 (+2516)
NA_peak_20311	NONE
NA_peak_22220	NONE
NA_peak_20117	NONE
