# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
NA_peak_1	OR4F5 (-26466)
NA_peak_6289	GRIP1 (+87939), HELB (+288489)
NA_peak_6290	GRIP1 (+25819), HELB (+350609)
NA_peak_6291	GRIP1 (+14744), HELB (+361684)
NA_peak_6292	CAND1 (-552309), GRIP1 (-37999)
NA_peak_6293	CAND1 (-481893), GRIP1 (-108415)
NA_peak_6294	CAND1 (-341900), GRIP1 (-248408)
NA_peak_6295	CAND1 (-327300), GRIP1 (-263008)
NA_peak_6296	GRIP1 (-313313), CAND1 (-276995)
NA_peak_6297	GRIP1 (-333168), CAND1 (-257140)
NA_peak_6298	GRIP1 (-347581), CAND1 (-242727)
NA_peak_6299	GRIP1 (-359918), CAND1 (-230390)
NA_peak_6300	GRIP1 (-365392), CAND1 (-224916)
NA_peak_6301	DYRK2 (-372971), CAND1 (+6469)
NA_peak_6302	DYRK2 (-188289), CAND1 (+191151)
NA_peak_6303	DYRK2 (-126884), CAND1 (+252556)
NA_peak_6304	DYRK2 (-107486), CAND1 (+271954)
NA_peak_6305	DYRK2 (-96038), CAND1 (+283402)
NA_peak_6306	DYRK2 (-90497), CAND1 (+288943)
NA_peak_6307	DYRK2 (+1666), IFNG (+509360)
NA_peak_6308	DYRK2 (+113378), IFNG (+397648)
NA_peak_6309	DYRK2 (+133408), IFNG (+377618)
NA_peak_6310	DYRK2 (+134507), IFNG (+376519)
NA_peak_6311	DYRK2 (+134909), IFNG (+376117)
NA_peak_6312	IFNG (+120672), DYRK2 (+390354)
NA_peak_6313	IFNG (+119192), DYRK2 (+391834)
NA_peak_6314	IFNG (-27507), IL26 (+38567)
NA_peak_6315	IFNG (-40247), IL26 (+25827)
NA_peak_6316	IL22 (-65042), MDM1 (+13683)
NA_peak_6317	RAP1B (-181505), MDM1 (-97002)
NA_peak_6318	RAP1B (-544)
NA_peak_6319	NUP107 (-72347), RAP1B (+3548)
NA_peak_6320	SLC35E3 (+917)
NA_peak_6321	MDM2 (-18936), SLC35E3 (+43134)
NA_peak_6322	CPM (+8063), MDM2 (+116960)
NA_peak_6323	CPM (+3869), MDM2 (+121154)
NA_peak_6324	CPSF6 (-296260), CPM (-10078)
NA_peak_6325	CPSF6 (-262802), CPM (-43536)
NA_peak_6326	CPSF6 (-236811), CPM (-69527)
NA_peak_6327	CPSF6 (-169478), CPM (-136860)
NA_peak_6328	CPM (-225107), CPSF6 (-81231)
NA_peak_6329	CPM (-247730), CPSF6 (-58608)
NA_peak_6330	LYZ (-106509), CPSF6 (+2295)
NA_peak_6331	LYZ (-96384), CPSF6 (+12420)
NA_peak_6332	LYZ (-91126), CPSF6 (+17678)
NA_peak_6333	LYZ (-22664), CPSF6 (+86140)
NA_peak_6334	LYZ (-4215)
NA_peak_6335	YEATS4 (-9511), LYZ (+1851)
NA_peak_6336	YEATS4 (-1679)
NA_peak_6337	FRS2 (-92657), YEATS4 (+17989)
NA_peak_6338	FRS2 (+731)
NA_peak_6339	CCT2 (-74733), FRS2 (+40252)
NA_peak_6340	CCT2 (-31129), FRS2 (+83856)
NA_peak_6341	LRRC10 (-83483), BEST3 (+4771)
NA_peak_6342	RAB3IP (-23711), BEST3 (-16263)
NA_peak_6343	MYRFL (-178764), RAB3IP (+14382)
NA_peak_6344	CNOT2 (-264584), MYRFL (+45877)
NA_peak_6345	CNOT2 (-199915), MYRFL (+110546)
NA_peak_6346	CNOT2 (-97229), MYRFL (+213232)
NA_peak_6347	KCNMB4 (-85516), CNOT2 (+37763)
NA_peak_6348	KCNMB4 (-71109), CNOT2 (+52170)
NA_peak_6349	KCNMB4 (-46036), CNOT2 (+77243)
NA_peak_6350	KCNMB4 (-17066), CNOT2 (+106213)
NA_peak_6351	KCNMB4 (+2315), PTPRB (+268849)
NA_peak_6352	PTPRB (+119795), KCNMB4 (+151369)
NA_peak_6353	PTPRB (+38693), KCNMB4 (+232471)
NA_peak_6354	PTPRB (+776)
NA_peak_6355	PTPRB (-23210), PTPRR (+260193)
NA_peak_6356	PTPRB (-112343), PTPRR (+171060)
NA_peak_6357	PTPRB (-119631), PTPRR (+163772)
NA_peak_6358	PTPRB (-120475), PTPRR (+162928)
NA_peak_6359	PTPRB (-212203), PTPRR (+71200)
NA_peak_6360	LGR5 (-280285), PTPRR (-238642)
NA_peak_6361	LGR5 (-276558), PTPRR (-242369)
NA_peak_6362	LGR5 (-261431), PTPRR (-257496)
NA_peak_6363	PTPRR (-314465), LGR5 (-204462)
NA_peak_6364	PTPRR (-387410), LGR5 (-131517)
NA_peak_6365	PTPRR (-402154), LGR5 (-116773)
NA_peak_6366	PTPRR (-479905), LGR5 (-39022)
NA_peak_6367	LGR5 (-689)
NA_peak_6368	THAP2 (-202582), TSPAN8 (-18529)
NA_peak_6369	TSPAN8 (-111405), THAP2 (-109706)
NA_peak_6370	RAB21 (-13393), TMEM19 (+55394)
NA_peak_6371	RAB21 (-10610), TMEM19 (+58177)
NA_peak_6372	TRHDE (-313960), TPH2 (+19877)
NA_peak_6373	TRHDE (-312670), TPH2 (+21167)
NA_peak_6374	TRHDE (-250126), TPH2 (+83711)
NA_peak_6375	TRHDE (-226635), TPH2 (+107202)
NA_peak_6376	TRHDE (-150328), TPH2 (+183509)
NA_peak_6377	TRHDE (-137238), TPH2 (+196599)
NA_peak_6378	TRHDE (-107683), TPH2 (+226154)
NA_peak_6379	TRHDE (+200214)
NA_peak_6380	TRHDE (+238928)
NA_peak_6381	TRHDE (+250258)
NA_peak_6382	TRHDE (+561328)
NA_peak_6383	TRHDE (+578458)
NA_peak_6384	TRHDE (+839901)
NA_peak_6385	TRHDE (+920589)
NA_peak_6386	TRHDE (+990493)
NA_peak_6387	NONE
NA_peak_6388	NONE
NA_peak_6389	NONE
NA_peak_6390	NONE
NA_peak_6391	NONE
NA_peak_6392	NONE
NA_peak_6393	NONE
NA_peak_6394	NONE
NA_peak_6395	NONE
NA_peak_6396	NONE
NA_peak_6397	NONE
NA_peak_6398	KCNC2 (+853722)
NA_peak_6399	KCNC2 (+771319)
NA_peak_6400	KCNC2 (+733431)
NA_peak_6401	KCNC2 (+665638)
NA_peak_6402	KCNC2 (+628186)
NA_peak_6403	KCNC2 (+623639)
NA_peak_6404	KCNC2 (+614033)
NA_peak_6405	KCNC2 (+448261)
NA_peak_6406	KCNC2 (+409569)
NA_peak_6407	KCNC2 (+389307)
NA_peak_6408	KCNC2 (+355968)
NA_peak_6409	KCNC2 (+295788)
NA_peak_6410	KCNC2 (+244887)
NA_peak_6411	KCNC2 (+146533)
NA_peak_6412	KCNC2 (+137767)
NA_peak_6413	KCNC2 (+102186)
NA_peak_6414	KCNC2 (+74765)
NA_peak_6415	KCNC2 (-19658), CAPS2 (+100530)
NA_peak_6416	KCNC2 (-58098), CAPS2 (+62090)
NA_peak_6417	KCNC2 (-108885), CAPS2 (+11303)
NA_peak_6418	KRR1 (-46784), PHLDA1 (+475527)
NA_peak_6419	KRR1 (-67132), PHLDA1 (+455179)
NA_peak_6420	KRR1 (-116922), PHLDA1 (+405389)
NA_peak_6421	KRR1 (-135096), PHLDA1 (+387215)
NA_peak_6422	KRR1 (-135873), PHLDA1 (+386438)
NA_peak_6423	KRR1 (-154861), PHLDA1 (+367450)
NA_peak_6424	KRR1 (-155633), PHLDA1 (+366678)
NA_peak_6425	KRR1 (-226382), PHLDA1 (+295929)
NA_peak_6426	KRR1 (-239924), PHLDA1 (+282387)
NA_peak_6427	KRR1 (-240440), PHLDA1 (+281871)
NA_peak_6428	KRR1 (-242997), PHLDA1 (+279314)
NA_peak_6429	KRR1 (-244755), PHLDA1 (+277556)
NA_peak_6430	KRR1 (-251174), PHLDA1 (+271137)
NA_peak_6431	KRR1 (-252467), PHLDA1 (+269844)
NA_peak_6432	KRR1 (-256137), PHLDA1 (+266174)
NA_peak_6433	KRR1 (-330894), PHLDA1 (+191417)
NA_peak_6434	KRR1 (-366618), PHLDA1 (+155693)
NA_peak_6435	KRR1 (-394469), PHLDA1 (+127842)
NA_peak_6436	KRR1 (-424511), PHLDA1 (+97800)
NA_peak_6437	KRR1 (-474842), PHLDA1 (+47469)
NA_peak_6438	KRR1 (-479053), PHLDA1 (+43258)
NA_peak_6439	KRR1 (-495417), PHLDA1 (+26894)
NA_peak_6440	KRR1 (-507359), PHLDA1 (+14952)
NA_peak_6441	PHLDA1 (-38227), NAP1L1 (+12874)
NA_peak_6442	PHLDA1 (-49676), NAP1L1 (+1425)
NA_peak_6443	NAP1L1 (-62325), BBS10 (+201084)
NA_peak_6444	NAP1L1 (-81151), BBS10 (+182258)
NA_peak_6445	NAP1L1 (-117315), BBS10 (+146094)
NA_peak_6446	NAP1L1 (-138759), BBS10 (+124650)
NA_peak_6447	NAP1L1 (-181541), BBS10 (+81868)
NA_peak_6448	BBS10 (-74529), OSBPL8 (+136838)
NA_peak_6449	BBS10 (-137529), OSBPL8 (+73838)
NA_peak_6450	BBS10 (-198886), OSBPL8 (+12481)
NA_peak_6451	CSRP2 (+1685), ZDHHC17 (+113787)
NA_peak_6452	CSRP2 (-146965), E2F7 (+39555)
NA_peak_6453	CSRP2 (-148147), E2F7 (+38373)
NA_peak_6454	NAV3 (-726250), E2F7 (-39459)
NA_peak_6455	NAV3 (-605665), E2F7 (-160044)
NA_peak_6456	NAV3 (-561623), E2F7 (-204086)
NA_peak_6457	NAV3 (-515645), E2F7 (-250064)
NA_peak_6458	NAV3 (-505280), E2F7 (-260429)
NA_peak_6459	E2F7 (-421385), NAV3 (-344324)
NA_peak_6460	E2F7 (-475883), NAV3 (-289826)
NA_peak_6461	E2F7 (-540902), NAV3 (-224807)
NA_peak_6462	E2F7 (-647118), NAV3 (-118591)
NA_peak_6463	SYT1 (-763559), NAV3 (+269821)
NA_peak_6464	SYT1 (-716123), NAV3 (+317257)
NA_peak_6465	SYT1 (-711215), NAV3 (+322165)
NA_peak_6466	SYT1 (-547893), NAV3 (+485487)
NA_peak_6467	SYT1 (-536164), NAV3 (+497216)
NA_peak_6468	SYT1 (-443870), NAV3 (+589510)
NA_peak_6469	SYT1 (-351789), NAV3 (+681591)
NA_peak_6470	SYT1 (-329767), NAV3 (+703613)
NA_peak_6471	SYT1 (-308693), NAV3 (+724687)
NA_peak_6472	SYT1 (-271092), NAV3 (+762288)
NA_peak_6473	SYT1 (-257767), NAV3 (+775613)
NA_peak_6474	SYT1 (-248081), NAV3 (+785299)
NA_peak_6475	SYT1 (-123170), NAV3 (+910210)
NA_peak_6476	SYT1 (-91168), NAV3 (+942212)
NA_peak_6477	SYT1 (+9653), PAWR (+816775)
NA_peak_6478	SYT1 (+24976), PAWR (+801452)
NA_peak_6479	SYT1 (+93649), PAWR (+732779)
NA_peak_6480	SYT1 (+137153), PAWR (+689275)
NA_peak_6481	SYT1 (+174204), PAWR (+652224)
NA_peak_6482	SYT1 (+273434), PAWR (+552994)
NA_peak_6483	SYT1 (+334338), PAWR (+492090)
NA_peak_6484	PAWR (+337480), SYT1 (+488948)
NA_peak_6485	PAWR (+266554), SYT1 (+559874)
NA_peak_6486	PAWR (+236181), SYT1 (+590247)
NA_peak_6487	PAWR (+130700), SYT1 (+695728)
NA_peak_6488	PAWR (+127397), SYT1 (+699031)
NA_peak_6489	PAWR (+124608), SYT1 (+701820)
NA_peak_6490	PAWR (+79086), SYT1 (+747342)
NA_peak_6491	PAWR (+47080), SYT1 (+779348)
NA_peak_6492	PAWR (+46030), SYT1 (+780398)
NA_peak_6493	PAWR (+8240), SYT1 (+818188)
NA_peak_6494	PAWR (+1746), SYT1 (+824682)
NA_peak_6495	PAWR (-82812), PPP1R12A (+161289)
NA_peak_6496	PAWR (-91812), PPP1R12A (+152289)
NA_peak_6497	PAWR (-104306), PPP1R12A (+139795)
NA_peak_6498	OTOGL (-263737), PPP1R12A (-10518)
NA_peak_6499	OTOGL (-231483), PPP1R12A (-42772)
NA_peak_6500	OTOGL (-189939), PPP1R12A (-84316)
NA_peak_6501	OTOGL (-159265), PPP1R12A (-114990)
NA_peak_6502	PPP1R12A (-163386), OTOGL (-110869)
NA_peak_6503	PPP1R12A (-222767), OTOGL (-51488)
NA_peak_6504	PTPRQ (-88718), OTOGL (+146175)
NA_peak_6505	PTPRQ (-87808), OTOGL (+147085)
NA_peak_6506	PTPRQ (-31716), OTOGL (+203177)
NA_peak_6507	MYF6 (-218991), PTPRQ (+44160)
NA_peak_6508	MYF6 (-216155), PTPRQ (+46996)
NA_peak_6509	MYF6 (-207735), PTPRQ (+55416)
NA_peak_6510	MYF6 (-198360), PTPRQ (+64791)
NA_peak_6511	MYF6 (-166415), PTPRQ (+96736)
NA_peak_6512	MYF6 (-162589), PTPRQ (+100562)
NA_peak_6513	MYF6 (-62127), PTPRQ (+201024)
NA_peak_6514	MYF6 (-39821), PTPRQ (+223330)
NA_peak_6515	MYF6 (-10372), PTPRQ (+252779)
NA_peak_6516	MYF5 (+41403), LIN7A (+179610)
NA_peak_6517	MYF5 (+45388), LIN7A (+175625)
NA_peak_6518	MYF5 (+83011), LIN7A (+138002)
NA_peak_6519	LIN7A (+95775), MYF5 (+125238)
NA_peak_6520	LIN7A (+11437), MYF5 (+209576)
NA_peak_6521	LIN7A (+1010), MYF5 (+220003)
NA_peak_6522	ACSS3 (-107009), LIN7A (-32277)
NA_peak_6523	ACSS3 (-78058), LIN7A (-61228)
NA_peak_6524	ACSS3 (+388)
NA_peak_6525	ACSS3 (+11808), PPFIA2 (+670311)
NA_peak_6526	ACSS3 (+18410), PPFIA2 (+663709)
NA_peak_6527	ACSS3 (+43946), PPFIA2 (+638173)
NA_peak_6528	ACSS3 (+49582), PPFIA2 (+632537)
NA_peak_6529	ACSS3 (+51813), PPFIA2 (+630306)
NA_peak_6530	ACSS3 (+130850), PPFIA2 (+551269)
NA_peak_6531	ACSS3 (+153302), PPFIA2 (+528817)
NA_peak_6532	ACSS3 (+339395), PPFIA2 (+342724)
NA_peak_6533	ACSS3 (+340001), PPFIA2 (+342118)
NA_peak_6534	PPFIA2 (+260325), ACSS3 (+421794)
NA_peak_6535	PPFIA2 (+257711), ACSS3 (+424408)
NA_peak_6536	PPFIA2 (+155581), ACSS3 (+526538)
NA_peak_6537	PPFIA2 (+74294), ACSS3 (+607825)
NA_peak_6538	METTL25 (-581616), PPFIA2 (-17551)
NA_peak_6539	METTL25 (-571585), PPFIA2 (-27582)
NA_peak_6540	METTL25 (-430080), PPFIA2 (-169087)
NA_peak_6541	METTL25 (-427660), PPFIA2 (-171507)
NA_peak_6542	METTL25 (-389685), PPFIA2 (-209482)
NA_peak_6543	METTL25 (-388431), PPFIA2 (-210736)
NA_peak_6544	METTL25 (-368293), PPFIA2 (-230874)
NA_peak_6545	METTL25 (-344923), PPFIA2 (-254244)
NA_peak_6546	METTL25 (-322411), PPFIA2 (-276756)
NA_peak_6547	METTL25 (-309870), PPFIA2 (-289297)
NA_peak_6548	PPFIA2 (-331044), METTL25 (-268123)
NA_peak_6549	PPFIA2 (-395786), METTL25 (-203381)
NA_peak_6550	PPFIA2 (-399027), METTL25 (-200140)
NA_peak_6551	PPFIA2 (-423589), METTL25 (-175578)
NA_peak_6552	PPFIA2 (-550294), METTL25 (-48873)
NA_peak_6553	PPFIA2 (-550621), METTL25 (-48546)
NA_peak_6554	PPFIA2 (-553473), METTL25 (-45694)
NA_peak_6555	PPFIA2 (-560625), METTL25 (-38542)
NA_peak_6556	PPFIA2 (-573230), METTL25 (-25937)
NA_peak_6557	TMTC2 (-223313), CCDC59 (-104779)
NA_peak_6558	CCDC59 (-269408), TMTC2 (-58684)
NA_peak_6559	TMTC2 (+1576)
NA_peak_6560	TMTC2 (+8065)
NA_peak_6561	TMTC2 (+76862)
NA_peak_6562	TMTC2 (+152098)
NA_peak_6563	TMTC2 (+179417)
NA_peak_6564	TMTC2 (+215601)
NA_peak_6565	TMTC2 (+278531)
NA_peak_6566	TMTC2 (+289291)
NA_peak_6567	TMTC2 (+292911)
NA_peak_6568	TMTC2 (+309545)
NA_peak_6569	TMTC2 (+470957)
NA_peak_6570	TMTC2 (+492604)
NA_peak_6571	TMTC2 (+499876)
NA_peak_6572	TMTC2 (+628545)
NA_peak_6573	TMTC2 (+779614)
NA_peak_6574	TMTC2 (+980211)
NA_peak_6575	NONE
NA_peak_6576	SLC6A15 (+965367)
NA_peak_6577	SLC6A15 (+867843)
NA_peak_6578	SLC6A15 (+680293)
NA_peak_6579	SLC6A15 (+621294)
NA_peak_6580	SLC6A15 (+586462)
NA_peak_6581	SLC6A15 (+515446)
NA_peak_6582	SLC6A15 (+439803)
NA_peak_6583	SLC6A15 (+280464)
NA_peak_6584	SLC6A15 (+270569)
NA_peak_6585	SLC6A15 (+254996)
NA_peak_6586	SLC6A15 (+133922)
NA_peak_6587	SLC6A15 (+128580)
NA_peak_6588	SLC6A15 (+70786)
NA_peak_6589	SLC6A15 (+52265)
NA_peak_6590	SLC6A15 (+51717)
NA_peak_6591	SLC6A15 (-73997), TSPAN19 (+49383)
NA_peak_6592	SLC6A15 (-74859), TSPAN19 (+48521)
NA_peak_6593	SLC6A15 (-98078), TSPAN19 (+25302)
NA_peak_6594	ALX1 (-207617), TSPAN19 (-36233)
NA_peak_6595	ALX1 (-178250), TSPAN19 (-65600)
NA_peak_6596	ALX1 (-152914), TSPAN19 (-90936)
NA_peak_6597	ALX1 (+769)
NA_peak_6598	ALX1 (+4726), RASSF9 (+551737)
NA_peak_6599	ALX1 (+28102), RASSF9 (+528361)
NA_peak_6600	ALX1 (+28491), RASSF9 (+527972)
NA_peak_6601	ALX1 (+41051), RASSF9 (+515412)
NA_peak_6602	ALX1 (+115924), RASSF9 (+440539)
NA_peak_6603	ALX1 (+195656), RASSF9 (+360807)
NA_peak_6604	RASSF9 (+198592), ALX1 (+357871)
NA_peak_6605	RASSF9 (+192161), ALX1 (+364302)
NA_peak_6606	RASSF9 (+165195), ALX1 (+391268)
NA_peak_6607	RASSF9 (+142205), ALX1 (+414258)
NA_peak_6608	RASSF9 (+85695), ALX1 (+470768)
NA_peak_6609	RASSF9 (+71005), ALX1 (+485458)
NA_peak_6610	RASSF9 (+48012), ALX1 (+508451)
NA_peak_6611	RASSF9 (+14676), ALX1 (+541787)
NA_peak_6612	RASSF9 (+11798), ALX1 (+544665)
NA_peak_6613	NTS (+28289), MGAT4C (+353681)
NA_peak_6614	NTS (+76687), MGAT4C (+305283)
NA_peak_6615	NTS (+100834), MGAT4C (+281136)
NA_peak_6616	NTS (+167256), MGAT4C (+214714)
NA_peak_6617	NTS (+175892), MGAT4C (+206078)
NA_peak_6618	MGAT4C (+23530), NTS (+358440)
NA_peak_6619	MGAT4C (-43703)
NA_peak_6620	MGAT4C (-68477)
NA_peak_6621	MGAT4C (-71586)
NA_peak_6622	MGAT4C (-112144)
NA_peak_6623	MGAT4C (-112661)
NA_peak_6624	MGAT4C (-183390)
NA_peak_6625	MGAT4C (-325446)
NA_peak_6626	MGAT4C (-350934)
NA_peak_6627	MGAT4C (-400218)
NA_peak_6628	MGAT4C (-407274)
NA_peak_6629	MGAT4C (-408315)
NA_peak_6630	MGAT4C (-489559)
NA_peak_6631	MGAT4C (-555828)
NA_peak_6632	MGAT4C (-752618)
NA_peak_6633	MGAT4C (-830066)
NA_peak_6634	MGAT4C (-870769)
NA_peak_6635	MGAT4C (-914489), CEP290 (+971459)
NA_peak_6636	MGAT4C (-918359), CEP290 (+967589)
NA_peak_6637	CEP290 (+781593)
NA_peak_6638	CEP290 (+700180)
NA_peak_6639	CEP290 (+661047)
NA_peak_6640	CEP290 (+602638)
NA_peak_6641	CEP290 (+539854)
NA_peak_6642	CEP290 (+480892)
NA_peak_6643	CEP290 (+447029)
NA_peak_6644	CEP290 (+442979)
NA_peak_6645	CEP290 (+437923)
NA_peak_6646	CEP290 (+437007)
NA_peak_6647	CEP290 (+401583)
NA_peak_6648	CEP290 (+377250)
NA_peak_6649	CEP290 (+352076)
NA_peak_6650	CEP290 (+339422)
NA_peak_6651	CEP290 (+336511)
NA_peak_6652	CEP290 (+293822)
NA_peak_6653	CEP290 (+285255)
NA_peak_6654	CEP290 (+282168)
NA_peak_6655	CEP290 (+281861)
NA_peak_6656	CEP290 (+149203)
NA_peak_6657	CEP290 (+58400)
NA_peak_6658	CEP290 (+49845)
NA_peak_6659	CEP290 (+15030)
NA_peak_6660	TMTC3 (+93921), KITLG (+344244)
NA_peak_6661	KITLG (+169793), TMTC3 (+268372)
NA_peak_6662	KITLG (+155545), TMTC3 (+282620)
NA_peak_6663	KITLG (+155165), TMTC3 (+283000)
NA_peak_6664	KITLG (+116290), TMTC3 (+321875)
NA_peak_6665	KITLG (+76874), TMTC3 (+361291)
NA_peak_6666	KITLG (+47895), TMTC3 (+390270)
NA_peak_6667	KITLG (+2345), TMTC3 (+435820)
NA_peak_6668	KITLG (-121684), DUSP6 (+651126)
NA_peak_6669	KITLG (-157920), DUSP6 (+614890)
NA_peak_6670	KITLG (-159021), DUSP6 (+613789)
NA_peak_6671	KITLG (-203668), DUSP6 (+569142)
NA_peak_6672	KITLG (-206818), DUSP6 (+565992)
NA_peak_6673	KITLG (-208269), DUSP6 (+564541)
NA_peak_6674	KITLG (-225893), DUSP6 (+546917)
NA_peak_6675	KITLG (-301108), DUSP6 (+471702)
NA_peak_6676	KITLG (-352446), DUSP6 (+420364)
NA_peak_6677	KITLG (-466702), DUSP6 (+306108)
NA_peak_6678	KITLG (-492804), DUSP6 (+280006)
NA_peak_6679	KITLG (-524842), DUSP6 (+247968)
NA_peak_6680	KITLG (-625330), DUSP6 (+147480)
NA_peak_6681	KITLG (-629493), DUSP6 (+143317)
NA_peak_6682	KITLG (-635269), DUSP6 (+137541)
NA_peak_6683	KITLG (-673198), DUSP6 (+99612)
NA_peak_6684	KITLG (-683478), DUSP6 (+89332)
NA_peak_6685	KITLG (-722195), DUSP6 (+50615)
NA_peak_6686	KITLG (-748613), DUSP6 (+24197)
NA_peak_6687	DUSP6 (-1653)
NA_peak_6688	DUSP6 (-19037), GALNT4 (+152498)
NA_peak_6689	DUSP6 (-117784), GALNT4 (+53751)
NA_peak_6690	DUSP6 (-154188), GALNT4 (+17347)
NA_peak_6691	DUSP6 (-154507), GALNT4 (+17028)
NA_peak_6692	GALNT4 (-1462), POC1B (-244), POC1B-GALNT4 (-70)
NA_peak_6693	POC1B-GALNT4 (-63773), ATP2B1 (+118860)
NA_peak_6694	POC1B-GALNT4 (-106133), ATP2B1 (+76500)
NA_peak_6695	POC1B-GALNT4 (-106902), ATP2B1 (+75731)
NA_peak_6696	POC1B-GALNT4 (-134823), ATP2B1 (+47810)
NA_peak_6697	POC1B-GALNT4 (-135585), ATP2B1 (+47048)
NA_peak_6698	POC1B-GALNT4 (-164724), ATP2B1 (+17909)
NA_peak_6699	POC1B-GALNT4 (-181287), ATP2B1 (+1346)
NA_peak_6700	ATP2B1 (-120231)
NA_peak_6701	ATP2B1 (-185496)
NA_peak_6702	ATP2B1 (-188439)
NA_peak_6703	ATP2B1 (-190361)
NA_peak_6704	ATP2B1 (-205454)
NA_peak_6705	ATP2B1 (-217669)
NA_peak_6706	ATP2B1 (-370589), EPYC (+925606)
NA_peak_6707	ATP2B1 (-390861), EPYC (+905334)
NA_peak_6708	ATP2B1 (-480186), EPYC (+816009)
NA_peak_6709	ATP2B1 (-513314), EPYC (+782881)
NA_peak_6710	ATP2B1 (-561512), EPYC (+734683)
NA_peak_6711	ATP2B1 (-628297), EPYC (+667898)
NA_peak_6712	ATP2B1 (-700229), EPYC (+595966)
NA_peak_6713	ATP2B1 (-705947), EPYC (+590248)
NA_peak_6714	ATP2B1 (-758319), EPYC (+537876)
NA_peak_6715	ATP2B1 (-838622), EPYC (+457573)
NA_peak_6716	ATP2B1 (-910909), EPYC (+385286)
NA_peak_6717	EPYC (+154056)
NA_peak_6718	EPYC (+153055)
NA_peak_6719	EPYC (+145218)
NA_peak_6720	EPYC (-20348), KERA (+32609)
NA_peak_6721	LUM (-116)
NA_peak_6722	DCN (-3556)
NA_peak_6723	DCN (-74948), BTG1 (+887825)
NA_peak_6724	DCN (-238334), BTG1 (+724439)
NA_peak_6725	DCN (-268005), BTG1 (+694768)
NA_peak_6726	DCN (-307986), BTG1 (+654787)
NA_peak_6727	DCN (-391260), BTG1 (+571513)
NA_peak_6728	DCN (-393135), BTG1 (+569638)
NA_peak_6729	DCN (-420229), BTG1 (+542544)
NA_peak_6730	DCN (-588267), BTG1 (+374506)
NA_peak_6731	DCN (-685065), BTG1 (+277708)
NA_peak_6732	DCN (-688444), BTG1 (+274329)
NA_peak_6733	DCN (-744054), BTG1 (+218719)
NA_peak_6734	DCN (-779147), BTG1 (+183626)
NA_peak_6735	DCN (-821884), BTG1 (+140889)
NA_peak_6736	DCN (-827062), BTG1 (+135711)
NA_peak_6737	DCN (-880321), BTG1 (+82452)
NA_peak_6738	DCN (-899117), BTG1 (+63656)
NA_peak_6739	DCN (-927161), BTG1 (+35612)
NA_peak_6740	DCN (-960029), BTG1 (+2744)
NA_peak_6741	CLLU1 (-245178), BTG1 (-32884)
NA_peak_6742	CLLU1 (-197454), BTG1 (-80608)
NA_peak_6743	CLLU1 (-196124), BTG1 (-81938)
NA_peak_6744	BTG1 (-220196), CLLU1 (-57866)
NA_peak_6745	PLEKHG7 (-306738), CLLU1 (+5838)
NA_peak_6746	PLEKHG7 (-271872), CLLU1 (+40704)
NA_peak_6747	PLEKHG7 (-268774), CLLU1 (+43802)
NA_peak_6748	PLEKHG7 (-231881), CLLU1 (+80695)
NA_peak_6749	PLEKHG7 (-203804), CLLU1 (+108772)
NA_peak_6750	PLEKHG7 (-189215), CLLU1 (+123361)
NA_peak_6751	PLEKHG7 (-172151), CLLU1 (+140425)
NA_peak_6752	PLEKHG7 (-127876), CLLU1 (+184700)
NA_peak_6753	EEA1 (+34427), PLEKHG7 (+158369)
NA_peak_6754	EEA1 (-724)
NA_peak_6755	NUDT4 (-389031), EEA1 (-59521)
NA_peak_6756	NUDT4 (-374192), EEA1 (-74360)
NA_peak_6757	NUDT4 (-361748), EEA1 (-86804)
NA_peak_6758	NUDT4 (-321702), EEA1 (-126850)
NA_peak_6759	NUDT4 (-281065), EEA1 (-167487)
NA_peak_6760	NUDT4 (-240257), EEA1 (-208295)
NA_peak_6761	EEA1 (-354329), NUDT4 (-94223)
NA_peak_6762	EEA1 (-369570), NUDT4 (-78982)
NA_peak_6763	UBE2N (+21953), NUDT4 (+42426)
NA_peak_6764	UBE2N (+18095), NUDT4 (+46284)
NA_peak_6765	UBE2N (+12751), NUDT4 (+51628)
NA_peak_6766	MRPL42 (+568)
NA_peak_6767	SOCS2 (-80374), MRPL42 (+21952)
NA_peak_6768	SOCS2 (-68779), MRPL42 (+33547)
NA_peak_6769	CRADD (-65859), SOCS2 (+42044)
NA_peak_6770	CRADD (-461)
NA_peak_6771	PLXNC1 (-428837), CRADD (+42169)
NA_peak_6772	PLXNC1 (-408760), CRADD (+62246)
NA_peak_6773	PLXNC1 (-252380), CRADD (+218626)
NA_peak_6774	PLXNC1 (-237374), CRADD (+233632)
NA_peak_6775	PLXNC1 (+51570), CCDC41 (+259659)
NA_peak_6776	PLXNC1 (+52220), CCDC41 (+259009)
NA_peak_6777	PLXNC1 (+106933), CCDC41 (+204296)
NA_peak_6778	CCDC41 (+94558), PLXNC1 (+216671)
NA_peak_6779	CCDC41 (+91344), PLXNC1 (+219885)
NA_peak_6780	CCDC41 (-75130), TMCC3 (+115480)
NA_peak_6781	CCDC41 (-187481), TMCC3 (+3129)
NA_peak_6782	TMCC3 (-15873), NDUFA12 (+337335)
NA_peak_6783	TMCC3 (-36392), NDUFA12 (+316816)
